2024-08-21T16:10:11.319+0800	INFO	main	droplet/run.go:166	load config from path /root/.droplet/config.toml
2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	fx.Lifecycle <= go.uber.org/fx.New.func1()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	fx.Shutdowner <= go.uber.org/fx.(*App).shutdowner-fm()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	fx.DotGraph <= go.uber.org/fx.(*App).dotGraph-fm()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	[]config.Option[group = "libp2p"] <= github.com/ipfs-force-community/droplet/v2/network.glob..func1.Security.func14()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	gateway.IMarketClient <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.Signer <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.ConsiderOnlineStorageDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetMaxDealStartDelayFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	crypto.PrivKey <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	badger.StagingDS <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	retrievalprovider.IRetrievalProvider <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	types.ShutdownChan <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.Libp2p <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.DAGStoreConfig <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetMaxDealsPerPublishMsgFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.PublishMsgPeriodConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*storageprovider.DealPublisher <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetConsiderOnlineStorageDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	peerstore.Peerstore <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*paychmgr.PaychAPI <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	storageprovider.StorageProvider <= reflect.makeFuncStub()

2024-08-21T16:10:11.332+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.ConsiderOfflineRetrievalDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	v1.FullNode <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	badger.DagTransferDS <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*dagstore.DAGStore <= github.com/ipfs-force-community/droplet/v2/dagstore.NewWrapperDAGStore()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	stores.DAGStoreWrapper <= github.com/ipfs-force-community/droplet/v2/dagstore.NewWrapperDAGStore()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.Node <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.StorageDealPieceCidBlocklistConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.TransferFileStoreConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	indexprovider.NetworkName <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	signer.ISigner <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.StorageDealFilter <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	repo.Repo <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	peer.ID <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	network.ResourceManager <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*storageprovider.DirectDealProvider <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.HomeDir <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetConsiderOnlineRetrievalDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetConsiderUnverifiedStorageDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.GetExpectedSealDurationFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.RetrievalDealFilter <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	gateway.IMarketServiceProvider <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetPublishMsgPeriodConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.MaxPublishDealsFeeFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	[]config.Option[group = "libp2p"] <= github.com/ipfs-force-community/droplet/v2/network.glob..func1.NoRelay.func11()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*paychmgr.Manager <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	journal.DisabledEvents <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.GetMaxDealStartDelayFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.TransferPathFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetTransferPathFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	storageprovider.IStorageAsk <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	storageprovider.StorageProviderNode <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	network.StagingGraphsync <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	storageprovider.DealAssiger <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	gateway.IMarketEvent <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.Mysql <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.PieceStorage <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetConsiderVerifiedStorageDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.MaxMarketBalanceAddFeeFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetMaxMarketBalanceAddFeeFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	crypto.PubKey <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	[]config.Option[group = "libp2p"] <= github.com/ipfs-force-community/droplet/v2/network.ResourceManagerOption()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*pubsub.PubSub <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*config.MarketConfig <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetStorageDealPieceCidBlocklistConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.333+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.ConsiderVerifiedStorageDealsConfigFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.334+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetExpectedSealDurationFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.334+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	config.SetMaxProviderCollateralMultiplierFunc <= reflect.makeFuncStub()

2024-08-21T16:10:11.334+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	clients.IMixMessage <= reflect.makeFuncStub()

2024-08-21T16:10:11.334+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	badger.StagingBlockstore <= reflect.makeFuncStub()

2024-08-21T16:10:11.334+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	*piecestorage.PieceStorageManager <= reflect.makeFuncStub()

2024-08-21T16:10:11.334+0800	INFO	fx	builder/fxlog.go:15	[Fx] PROVIDE	journal.Journal <= reflect.makeFuncStub()

